id,genre,genre_vector
102,"['comedy', 'drama']",[0 1 1 0 0 0 0 0]
103,['comedy'],[0 1 0 0 0 0 0 0]
104,"['comedy', 'action', 'drama']",[1 1 1 0 0 0 0 0]
105,['comedy'],[0 1 0 0 0 0 0 0]
106,"['comedy', 'science_fiction', 'fantasy']",[0 1 0 1 0 0 0 1]
107,"['comedy', 'drama']",[0 1 1 0 0 0 0 0]
108,"['comedy', 'drama', 'fantasy']",[0 1 1 1 0 0 0 0]
109,"['comedy', 'drama']",[0 1 1 0 0 0 0 0]
110,"['comedy', 'action', 'science_fiction']",[1 1 0 0 0 0 0 1]
111,"['comedy', 'drama', 'science_fiction']",[0 1 1 0 0 0 0 1]
112,"['comedy', 'action']",[1 1 0 0 0 0 0 0]
113,"['comedy', 'action']",[1 1 0 0 0 0 0 0]
114,['comedy'],[0 1 0 0 0 0 0 0]
115,"['comedy', 'drama']",[0 1 1 0 0 0 0 0]
116,"['comedy', 'drama']",[0 1 1 0 0 0 0 0]
117,"['comedy', 'fantasy']",[0 1 0 1 0 0 0 0]
118,"['comedy', 'action', 'fantasy']",[1 1 0 1 0 0 0 0]
119,"['comedy', 'science_fiction']",[0 1 0 0 0 0 0 1]
120,"['comedy', 'fantasy']",[0 1 0 1 0 0 0 0]
121,['comedy'],[0 1 0 0 0 0 0 0]
122,"['comedy', 'drama']",[0 1 1 0 0 0 0 0]
123,"['comedy', 'fantasy']",[0 1 0 1 0 0 0 0]
124,"['comedy', 'fantasy']",[0 1 0 1 0 0 0 0]
125,['comedy'],[0 1 0 0 0 0 0 0]
126,['comedy'],[0 1 0 0 0 0 0 0]
127,"['comedy', 'science_fiction', 'fantasy']",[0 1 0 1 0 0 0 1]
128,"['comedy', 'action', 'science_fiction', 'fantasy']",[1 1 0 1 0 0 0 1]
129,['comedy'],[0 1 0 0 0 0 0 0]
130,['comedy'],[0 1 0 0 0 0 0 0]
131,['comedy'],[0 1 0 0 0 0 0 0]
132,['comedy'],[0 1 0 0 0 0 0 0]
133,['comedy'],[0 1 0 0 0 0 0 0]
134,['comedy'],[0 1 0 0 0 0 0 0]
135,['comedy'],[0 1 0 0 0 0 0 0]
136,['comedy'],[0 1 0 0 0 0 0 0]
137,['comedy'],[0 1 0 0 0 0 0 0]
138,"['comedy', 'fantasy']",[0 1 0 1 0 0 0 0]
139,"['comedy', 'science_fiction']",[0 1 0 0 0 0 0 1]
140,['comedy'],[0 1 0 0 0 0 0 0]
141,"['comedy', 'horror', 'fantasy']",[0 1 0 1 1 0 0 0]
142,['comedy'],[0 1 0 0 0 0 0 0]
143,"['comedy', 'romance']",[0 1 0 0 0 0 1 0]
144,['comedy'],[0 1 0 0 0 0 0 0]
145,['comedy'],[0 1 0 0 0 0 0 0]
146,['comedy'],[0 1 0 0 0 0 0 0]
147,"['comedy', 'science_fiction']",[0 1 0 0 0 0 0 1]
148,['comedy'],[0 1 0 0 0 0 0 0]
149,['comedy'],[0 1 0 0 0 0 0 0]
150,"['comedy', 'science_fiction']",[0 1 0 0 0 0 0 1]
151,['comedy'],[0 1 0 0 0 0 0 0]
152,"['action', 'science_fiction']",[1 0 0 0 0 0 0 1]
154,['action'],[1 0 0 0 0 0 0 0]
155,['action'],[1 0 0 0 0 0 0 0]
156,"['action', 'drama']",[1 0 1 0 0 0 0 0]
157,"['action', 'drama', 'science_fiction']",[1 0 1 0 0 0 0 1]
158,"['action', 'science_fiction']",[1 0 0 0 0 0 0 1]
159,"['action', 'horror', 'drama', 'science_fiction']",[1 0 1 0 1 0 0 1]
160,['action'],[1 0 0 0 0 0 0 0]
162,"['action', 'drama', 'science_fiction']",[1 0 1 0 0 0 0 1]
163,['action'],[1 0 0 0 0 0 0 0]
164,"['action', 'science_fiction', 'fantasy']",[1 0 0 1 0 0 0 1]
165,"['action', 'horror']",[1 0 0 0 1 0 0 0]
167,"['action', 'science_fiction', 'fantasy']",[1 0 0 1 0 0 0 1]
168,"['action', 'drama', 'science_fiction']",[1 0 1 0 0 0 0 1]
169,"['action', 'science_fiction', 'science_fiction']",[1 0 0 0 0 0 0 1]
170,"['action', 'drama', 'science_fiction']",[1 0 1 0 0 0 0 1]
171,['action'],[1 0 0 0 0 0 0 0]
172,['action'],[1 0 0 0 0 0 0 0]
173,"['action', 'science_fiction', 'fantasy']",[1 0 0 1 0 0 0 1]
175,"['action', 'drama', 'science_fiction', 'science_fiction']",[1 0 1 0 0 0 0 1]
176,"['action', 'science_fiction']",[1 0 0 0 0 0 0 1]
177,"['action', 'drama', 'science_fiction', 'fantasy']",[1 0 1 1 0 0 0 1]
178,['action'],[1 0 0 0 0 0 0 0]
179,"['action', 'horror', 'horror', 'fantasy', 'fantasy']",[1 0 0 1 1 0 0 0]
181,['action'],[1 0 0 0 0 0 0 0]
182,"['action', 'drama', 'science_fiction', 'fantasy']",[1 0 1 1 0 0 0 1]
183,['action'],[1 0 0 0 0 0 0 0]
184,['action'],[1 0 0 0 0 0 0 0]
185,"['action', 'science_fiction']",[1 0 0 0 0 0 0 1]
186,"['action', 'science_fiction', 'fantasy']",[1 0 0 1 0 0 0 1]
187,['action'],[1 0 0 0 0 0 0 0]
188,['action'],[1 0 0 0 0 0 0 0]
189,['action'],[1 0 0 0 0 0 0 0]
190,"['action', 'drama', 'fantasy']",[1 0 1 1 0 0 0 0]
191,"['action', 'drama']",[1 0 1 0 0 0 0 0]
192,"['action', 'drama']",[1 0 1 0 0 0 0 0]
193,"['action', 'fantasy']",[1 0 0 1 0 0 0 0]
194,['action'],[1 0 0 0 0 0 0 0]
195,"['action', 'drama', 'fantasy']",[1 0 1 1 0 0 0 0]
196,"['action', 'science_fiction']",[1 0 0 0 0 0 0 1]
197,['action'],[1 0 0 0 0 0 0 0]
199,"['action', 'fantasy']",[1 0 0 1 0 0 0 0]
200,"['action', 'fantasy']",[1 0 0 1 0 0 0 0]
201,"['action', 'science_fiction']",[1 0 0 0 0 0 0 1]
202,['horror'],[0 0 0 0 1 0 0 0]
204,['horror'],[0 0 0 0 1 0 0 0]
205,['horror'],[0 0 0 0 1 0 0 0]
206,['horror'],[0 0 0 0 1 0 0 0]
208,['horror'],[0 0 0 0 1 0 0 0]
210,['horror'],[0 0 0 0 1 0 0 0]
211,['horror'],[0 0 0 0 1 0 0 0]
212,"['horror', 'drama']",[0 0 1 0 1 0 0 0]
213,"['horror', 'drama', 'science_fiction']",[0 0 1 0 1 0 0 1]
214,['horror'],[0 0 0 0 1 0 0 0]
215,['horror'],[0 0 0 0 1 0 0 0]
216,['horror'],[0 0 0 0 1 0 0 0]
217,"['horror', 'drama']",[0 0 1 0 1 0 0 0]
218,['horror'],[0 0 0 0 1 0 0 0]
219,['horror'],[0 0 0 0 1 0 0 0]
220,"['horror', 'science_fiction']",[0 0 0 0 1 0 0 1]
221,['horror'],[0 0 0 0 1 0 0 0]
222,['horror'],[0 0 0 0 1 0 0 0]
223,['horror'],[0 0 0 0 1 0 0 0]
225,"['horror', 'science_fiction']",[0 0 0 0 1 0 0 1]
226,['horror'],[0 0 0 0 1 0 0 0]
228,['horror'],[0 0 0 0 1 0 0 0]
229,['horror'],[0 0 0 0 1 0 0 0]
230,['horror'],[0 0 0 0 1 0 0 0]
231,['horror'],[0 0 0 0 1 0 0 0]
232,['horror'],[0 0 0 0 1 0 0 0]
233,['horror'],[0 0 0 0 1 0 0 0]
234,"['horror', 'fantasy']",[0 0 0 1 1 0 0 0]
235,"['horror', 'fantasy']",[0 0 0 1 1 0 0 0]
236,['horror'],[0 0 0 0 1 0 0 0]
237,['horror'],[0 0 0 0 1 0 0 0]
